2022/11/27	18:34:50	8781c437-c38e-4872-b9a0-76c934fabe79	GET 	 undefined 	 /employees 
2022/11/27	18:35:50	9c5df2cc-77b6-45eb-96aa-218b3cf4b229	GET 	 undefined 	 /employees 
2022/11/27	18:35:54	9dbd5ca4-06bd-4797-beaa-91988c048899	POST 	 undefined 	 /employees 
2022/11/27	18:36:12	670481c7-c0f3-4d79-9b1b-3f871f8e63e4	GET 	 undefined 	 /employees 
2022/11/27	18:36:21	4a18e8d3-7029-414f-b8b1-4e488db1e9ea	PUT 	 undefined 	 /employees 
2022/11/27	18:36:42	2fa20423-f8da-4176-a0b5-2877e5f22da2	DELETE 	 undefined 	 /employees/1 
2022/11/27	18:36:56	42ce37de-83e6-42ab-82da-b155a62593ec	GET 	 undefined 	 /employees/1 
2022/11/27	18:37:16	af02ef24-95e5-4d54-a511-52bca7741ba9	DELETE 	 undefined 	 /employees 
2022/11/27	18:54:40	c51ef1e4-c2bc-41fa-ab34-28191117493d	GET 	 undefined 	 /register 
2022/11/27	18:54:52	069ecbc7-f139-4577-bfd0-237a226e42ba	POST 	 undefined 	 /register 
2022/11/27	18:57:04	70f32400-98be-4fbc-9bb9-d25af962a823	POST 	 undefined 	 /register 
2022/11/27	18:59:43	cc50c2f9-fa94-4716-841e-0baef30c4543	POST 	 undefined 	 /register 
2022/11/27	19:01:18	dc010f68-25fa-4d1f-a9d1-3bf9eb916fb3	POST 	 undefined 	 /register 
2022/11/27	19:02:29	3ca10f8b-24d0-4b4b-afe3-9e1aeec15080	POST 	 undefined 	 /register 
2022/11/27	19:02:58	b52f12b5-1eb5-442f-b419-d7264047b7b7	POST 	 undefined 	 /register 
2022/11/27	19:10:39	3cd106e2-5321-4936-a1c8-ec77fa55a021	POST 	 undefined 	 /register 
2022/11/27	19:16:35	dc09b4d9-3ab6-45ed-858d-57e96e1daba0	POST 	 undefined 	 /register 
2022/11/27	19:31:52	70589bad-0477-4e56-8b1d-631a7dc79d85	POST 	 undefined 	 /auth 
2022/11/27	19:32:06	eab095fb-96ae-4005-bc67-726097e2e794	POST 	 undefined 	 /auth 
2022/11/27	19:32:10	3cc63824-4eba-4e18-88ce-23e3ad7f0f3c	POST 	 undefined 	 /auth 
2022/11/27	19:32:17	c20fe468-9564-4fdb-82ca-5f946c084929	POST 	 undefined 	 /auth 
2022/11/28	09:52:01	ce327a09-3155-44c1-ac8f-c9e8a7640c89	POST 	 undefined 	 /auth 
2022/11/28	09:52:17	5b55e09f-083e-48be-b8c1-fbdcdaa5c61c	POST 	 undefined 	 /auth 
2022/11/28	09:52:59	07ae9a5b-1068-4de5-bead-4ddd49f9093c	GET 	 undefined 	 /employees 
2022/11/28	09:53:06	a6f57c58-8c63-42d2-9408-137209e223a4	POST 	 undefined 	 /auth 
2022/11/28	09:53:15	54a5ef26-b3c5-4722-af55-416d377aacf3	GET 	 undefined 	 /employees 
2022/11/28	09:54:56	d93a29dd-fb24-49c1-b4d4-7edef490b7a8	POST 	 undefined 	 /auth 
2022/11/28	09:55:06	faaf9fc9-9f1b-423f-956f-3a16cf12aeda	GET 	 undefined 	 /employees/1 
2022/11/28	09:55:09	d9e9047a-2f34-419b-8ccf-16420089600d	GET 	 undefined 	 /employees/1 
2022/11/28	10:04:49	5dbead2d-c5d7-42e7-bba7-fdd55920c59f	POST 	 undefined 	 /auth 
2022/11/28	10:06:23	79e3b92b-538b-4c3a-a437-45aaf024c5f1	POST 	 undefined 	 /auth 
2022/11/28	10:06:26	4a38b214-4194-4c8c-ab3a-776e9e5b4c4a	GET 	 undefined 	 /refresh 
2022/11/28	10:07:01	462e6a35-b3d1-4f2f-85df-4f5722977722	GET 	 undefined 	 /employees 
2022/11/28	10:07:05	015f6a16-d436-4ef8-a02f-2dc53f334e43	GET 	 undefined 	 /refresh 
2022/11/28	10:07:15	2c39b223-e2bc-4a8e-989e-5789cc66d981	GET 	 undefined 	 /employees 
2022/11/28	10:36:33	c6d88728-0b30-4438-b443-a184bd1c67f0	POST 	 undefined 	 /auth 
2022/11/28	10:36:40	9e1aeb09-24c2-458f-a456-c97c27f69caf	GET 	 undefined 	 /logout 
2022/11/28	10:36:52	13049b30-81a9-4124-b22e-3cfa4bcd946e	GET 	 undefined 	 /employees 
2022/11/28	10:37:00	c0a5e00b-5b50-4258-a87c-d8afb3b7f0a9	GET 	 undefined 	 /refresh 
2022/11/28	10:37:44	267f482f-ab35-4b78-bcd5-c7fb840587dd	GET 	 undefined 	 /refresh 
2022/11/28	10:38:07	0cdd9564-b982-4267-b26c-eba0f31e071f	POST 	 undefined 	 /auth 
2022/11/28	10:38:12	83b943e3-143a-425d-b724-b6246b7b1035	GET 	 undefined 	 /refresh 
2022/11/28	10:38:14	ac031a91-d413-4779-ae65-733a721f9258	GET 	 undefined 	 /logout 
2022/11/28	10:38:16	0597b6fc-c4e1-44f2-a67c-475b887c49e9	GET 	 undefined 	 /refresh 
